player_sk,version,Season,Matches Played,Game or games started by player,Minutes,90s Played90s played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",PrgC,PrgP,PrgR,Goals.1,Assists.1,Goals + Assists.1,Non-Penalty Goals.1,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutes,xG.1,xAG.1,"xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",npxG.1,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader.1",90s,Cmp,Cmp.1,Cmp.2,Cmp.3,Att,Att.1,Att.2,Att.3,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Tot,Prg,Cmp.4,Cmp.5,Cmp.6,Cmp.7,Att.4,Att.5,Att.6,Att.7,Cmp%.4,Cmp%.5,Cmp%.6,Cmp%.7,Cmp.8,Cmp.9,Cmp.10,Cmp.11,Att.8,Att.9,Att.10,Att.11,Cmp%.8,Cmp%.9,Cmp%.10,Cmp%.11,Cmp.12,Cmp.13,Cmp.14,Cmp.15,Att.12,Att.13,Att.14,Att.15,Cmp%.12,Cmp%.13,Cmp%.14,Cmp%.15,Ast,xA,Assists - xAGAssists minus Expected Goals Assisted,KP,1/3,PPA,CrsPA,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG/Shot,"Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Tkl,Tkl.1,TklW,Tkl.2,Tkl.3,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,TO,TO.1,Fld,Fld.1,Def,Def.1,GCA,GCA90,TO.2,TO.3,Fld.2,Fld.3,Def.2,Def.3,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Won,Won%,GA,PKA,CK,OG,Post-Shot Expected Goals,Post-Shot Expected Goals per Shot on Target,PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,Att (GK),Thr,Launch%,Launch%.1,Avg,Avg.1,Avg.2,Launch%.2,Launch%.3,Avg.3,Avg.4,Avg.5,Opp,Stp,Stp%,#OPA,#OPA/90,Avg.6,Avg.7,Avg.8,Player,Pos,Squad,Age,name,roster_designation,category,_features,cluster,pca1,pca2
6676507212,1,2025,7,6,572,6.4,0.16,0.0,0.16,0.16,0.0,0.0,0.47,0.0,0.42,0.42,0.09,0.52,4.06,6.56,4.38,0.16,0.0,0.16,0.16,0.16,0.42,0.1,0.52,0.42,0.52,6.4,34.1,16.1,15.0,1.72,39.5,17.5,15.9,3.91,86.2,92.0,94.1,44.0,541.4,149.2,34.1,16.1,15.0,1.72,39.5,17.5,15.9,3.91,86.2,92.0,94.1,44.0,34.1,16.1,15.0,1.72,39.5,17.5,15.9,3.91,86.2,92.0,94.1,44.0,34.1,16.1,15.0,1.72,39.5,17.5,15.9,3.91,86.2,92.0,94.1,44.0,0.0,0.16,-0.09,1.56,4.53,0.78,0.0,0.16,3.44,1.09,31.8,3.46,1.1,0.05,0.14,18.7,0.0,0.0,0.0,0.12,-0.27,-0.27,51.7,1.25,5.16,26.3,21.3,3.91,51.7,1.56,50.0,1.25,40.0,34.1,1.09,1.41,0.63,39.4,1.25,0.31,0.94,1.25,0.31,18.2,1.41,0.94,0.78,0.31,1.56,0.94,0.0,4.84,4.88,0.47,0.0,0.63,0.0,0.0,0.0,0.16,0.16,0.47,0.0,0.63,0.0,0.0,0.0,0.0,1.09,2.19,0.16,2.03,0.31,0.94,0.16,0.0,0.0,2.97,0.31,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paxten Aaronson,MF,Colorado Rapids,22-100,,,,"[ 0.07564132 -0.79755134  1.59963009  1.81596593 -0.20272134 -1.06075434
  2.09342303  1.39628754 -0.28078983  1.5333176   1.93989578 -0.45572611
 -1.05160121 -0.23987635]",-1,3.0703016125074143,0.5040459206481399
9552171774,2,2025,32,17,1481,16.5,0.3,0.06,0.36,0.3,0.0,0.0,0.06,0.0,0.42,0.42,0.17,0.59,4.06,3.15,8.3,0.3,0.06,0.36,0.3,0.36,0.42,0.17,0.59,0.42,0.59,16.5,21.3,12.8,6.79,1.09,28.1,15.3,8.91,1.88,75.6,84.1,76.2,58.1,304.7,91.5,21.3,12.8,6.79,1.09,28.1,15.3,8.91,1.88,75.6,84.1,76.2,58.1,21.3,12.8,6.79,1.09,28.1,15.3,8.91,1.88,75.6,84.1,76.2,58.1,21.3,12.8,6.79,1.09,28.1,15.3,8.91,1.88,75.6,84.1,76.2,58.1,0.06,0.16,-0.11,1.64,1.58,1.64,0.24,0.3,2.67,0.91,34.1,2.67,0.91,0.11,0.33,16.5,0.0,0.0,0.0,0.16,-0.12,-0.12,38.1,0.48,4.79,12.8,20.9,4.55,38.1,0.61,28.6,1.39,65.7,25.9,1.33,1.58,1.45,28.3,1.7,1.21,0.97,1.7,1.21,52.6,1.09,0.73,0.61,0.3,2.0,0.42,0.0,3.03,3.04,0.18,0.0,0.12,0.06,0.06,0.0,0.3,0.3,0.18,0.0,0.12,0.06,0.06,0.0,0.0,0.73,1.03,0.24,1.76,0.3,0.97,0.0,0.06,0.0,4.06,0.12,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liel Abada,"FW,MF",Charlotte,24-062,Liel Abada,Designated Player,Designated Player,"[ 0.7421104  -0.35476143  1.59963009  1.81596593  0.62676232  0.11144895
  1.3533636   1.01127015 -1.13011305 -0.37012754  1.93989578  0.13005736
 -1.07139083 -0.68760093]",0,3.5415865014831382,-0.0822764345125892
8626234972,1,2025,5,4,303,3.4,0.88,0.0,0.88,0.88,0.0,0.0,0.0,0.0,0.24,0.24,0.18,0.41,1.76,2.35,8.82,0.89,0.0,0.89,0.89,0.89,0.24,0.17,0.41,0.24,0.41,3.4,16.5,10.6,4.41,0.29,23.5,13.8,5.88,0.29,70.0,76.6,75.0,100.0,214.4,40.6,16.5,10.6,4.41,0.29,23.5,13.8,5.88,0.29,70.0,76.6,75.0,100.0,16.5,10.6,4.41,0.29,23.5,13.8,5.88,0.29,70.0,76.6,75.0,100.0,16.5,10.6,4.41,0.29,23.5,13.8,5.88,0.29,70.0,76.6,75.0,100.0,0.0,0.09,-0.18,1.18,1.18,0.59,0.0,0.88,1.47,1.18,80.0,1.49,1.19,0.6,0.75,12.2,0.0,0.0,0.0,0.16,0.65,0.65,34.1,0.88,1.76,12.9,20.0,4.71,34.1,0.59,50.0,0.29,25.0,18.8,0.59,4.41,1.76,24.4,0.88,0.0,0.29,0.88,0.0,0.0,0.29,0.29,0.29,0.0,0.88,0.88,0.0,2.35,2.4,0.0,0.0,0.29,0.29,0.0,0.0,0.59,0.6,0.0,0.0,0.29,0.29,0.0,0.0,0.0,1.76,1.18,0.29,0.0,0.0,0.29,0.29,0.0,0.0,3.24,0.59,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wessam Abou Ali,FW,Columbus Crew,26-334,,,,"[ 3.5031966  -0.79755134  0.54286327  0.65457331  0.73044778 -1.40764398
  0.20002422  1.58879624 -1.44860926 -0.81668359  0.10052184 -0.9373703
 -1.66507962 -1.62569051]",-1,3.682208207190565,-1.6395000544747216
7809543010,1,2025,21,16,1493,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.01,0.0,0.01,0.9,4.52,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,53.2,17.0,30.4,5.06,60.5,18.1,32.2,9.04,87.9,94.0,94.4,56.0,1034.4,380.9,53.2,17.0,30.4,5.06,60.5,18.1,32.2,9.04,87.9,94.0,94.4,56.0,53.2,17.0,30.4,5.06,60.5,18.1,32.2,9.04,87.9,94.0,94.4,56.0,53.2,17.0,30.4,5.06,60.5,18.1,32.2,9.04,87.9,94.0,94.4,56.0,0.0,0.02,0.0,0.0,4.64,0.3,0.06,0.0,0.06,0.0,0.0,0.06,0.0,0.0,,6.4,0.0,0.0,0.0,0.07,-0.01,-0.01,68.9,6.14,32.2,34.6,2.29,0.24,68.9,0.0,,0.0,,42.9,0.06,0.24,0.0,51.3,1.02,0.6,0.42,1.02,0.6,52.6,0.54,0.72,0.42,0.36,1.39,4.52,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.24,0.0,0.18,0.36,0.42,0.0,0.06,0.0,3.55,1.57,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Abram,DF,Atlanta Utd,29-280,Luis Abram,TAM Player,TAM Player,"[-0.68603763 -0.79755134 -0.80744988 -0.82942838 -1.13589047  0.12692359
 -1.15514955 -0.93520667  0.98655966  0.39459968 -0.58724407 -0.75512656
 -0.95265308 -0.70892115]",0,-1.8887525280451416,-0.8158018434452429
9379485952,2,2025,29,18,1656,18.4,0.05,0.0,0.05,0.05,0.0,0.0,0.27,0.05,0.03,0.03,0.01,0.04,0.33,1.79,0.43,0.05,0.0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,18.4,32.4,14.9,15.2,1.63,37.4,16.1,16.7,3.48,86.6,92.3,91.2,46.9,530.3,229.7,32.4,14.9,15.2,1.63,37.4,16.1,16.7,3.48,86.6,92.3,91.2,46.9,32.4,14.9,15.2,1.63,37.4,16.1,16.7,3.48,86.6,92.3,91.2,46.9,32.4,14.9,15.2,1.63,37.4,16.1,16.7,3.48,86.6,92.3,91.2,46.9,0.0,0.02,-0.01,0.22,2.17,0.16,0.0,0.05,0.43,0.16,37.5,0.43,0.16,0.13,0.33,14.5,0.0,0.0,0.0,0.07,0.03,0.03,48.2,9.67,28.2,17.0,3.32,1.03,48.2,0.11,100.0,0.0,0.0,22.2,0.0,0.65,0.0,26.0,1.36,0.6,0.71,1.36,0.6,61.1,0.38,1.47,0.54,1.2,2.55,5.65,0.0,0.54,0.54,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.05,1.03,0.49,0.16,0.11,1.2,0.71,0.0,0.05,0.0,3.04,1.41,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lalas Abubakar,DF,FC Dallas,30-344,Lalas Abubakar,,Standard,"[-0.44801295 -0.79755134 -0.69003135 -0.70038476 -1.03220501  0.33712066
 -0.79953658 -0.59296899 -0.39359057 -1.12927282 -1.04308891 -0.3125346
  0.70967552  0.89009519]",0,-1.8877199927682338,-1.7372058164941568
953419151,2,2025,19,6,655,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.01,0.01,0.05,0.07,0.68,3.7,1.1,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.06,0.01,0.06,7.3,46.7,26.3,16.8,2.19,53.6,29.0,17.9,3.97,87.2,90.6,93.9,55.2,699.9,180.3,46.7,26.3,16.8,2.19,53.6,29.0,17.9,3.97,87.2,90.6,93.9,55.2,46.7,26.3,16.8,2.19,53.6,29.0,17.9,3.97,87.2,90.6,93.9,55.2,46.7,26.3,16.8,2.19,53.6,29.0,17.9,3.97,87.2,90.6,93.9,55.2,0.0,0.03,-0.05,0.41,3.56,0.55,0.0,0.0,0.27,0.27,100.0,0.27,0.27,0.0,0.0,24.8,0.0,0.0,0.0,0.03,-0.01,-0.01,62.1,2.33,18.1,34.8,9.45,0.96,62.1,0.14,20.0,0.55,80.0,33.8,0.27,0.96,0.82,45.5,0.96,0.41,0.55,0.96,0.41,27.3,1.1,1.1,0.82,1.92,2.88,1.64,0.0,1.51,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,1.64,0.14,0.27,1.92,0.55,0.0,0.14,0.0,4.11,0.68,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kellyn Acosta,MF,Chicago Fire,30-133,Kellyn Acosta,TAM Player,TAM Player,"[-0.68603763 -0.79755134 -0.80744988 -0.82942838 -0.61746318 -0.95372147
 -0.95331516 -0.35768058  0.55526271 -0.06312026 -0.76318418 -0.83323102
  2.1345286   0.10124713]",0,-2.3294356152941273,-0.7016766419917544
2416347523,2,2025,21,18,1695,18.8,0.27,0.05,0.32,0.21,0.05,0.11,0.43,0.0,0.29,0.2,0.21,0.41,3.14,6.91,6.65,0.27,0.05,0.32,0.21,0.27,0.29,0.2,0.49,0.2,0.41,18.8,36.5,18.8,12.1,4.41,51.4,22.3,16.1,8.35,70.9,84.5,75.2,52.9,628.7,261.9,36.5,18.8,12.1,4.41,51.4,22.3,16.1,8.35,70.9,84.5,75.2,52.9,36.5,18.8,12.1,4.41,51.4,22.3,16.1,8.35,70.9,84.5,75.2,52.9,36.5,18.8,12.1,4.41,51.4,22.3,16.1,8.35,70.9,84.5,75.2,52.9,0.05,0.31,-0.15,2.23,5.8,2.55,0.53,0.27,1.49,0.64,42.9,1.49,0.64,0.14,0.33,19.9,0.32,0.05,0.11,0.14,-0.02,0.01,64.1,0.69,6.17,27.6,31.2,4.15,64.0,2.18,46.6,2.39,51.1,35.1,1.17,2.93,1.33,44.5,1.17,0.48,0.8,1.17,0.48,34.6,0.9,1.06,1.06,0.48,1.65,0.85,0.0,5.0,4.99,0.21,0.11,0.21,0.05,0.11,0.0,0.48,0.48,0.21,0.11,0.21,0.05,0.11,0.0,0.0,1.76,1.91,0.16,5.27,0.48,0.8,0.11,0.0,0.0,3.46,0.16,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luciano Acosta,"MF,FW",FC Dallas,31-187,Luciano Acosta,Designated Player,Designated Player,"[ 0.5992956  -0.42855974  0.83640961  0.39648606  1.04150416  0.38741321
  0.21924654  0.43374406 -0.12154173  1.72868587  1.2041462  -0.5598654
 -0.71517756  0.01596626]",0,1.4690247117292794,1.2769293788311842
8352155128,3,2025,7,4,291,3.2,0.63,0.0,0.63,0.63,0.0,0.0,0.0,0.0,0.41,0.41,0.09,0.53,3.13,5.0,10.3,0.62,0.0,0.62,0.62,0.62,0.42,0.1,0.52,0.42,0.52,3.2,64.7,38.1,24.4,1.56,74.4,40.9,28.8,2.19,87.0,93.1,84.8,71.4,946.3,306.9,64.7,38.1,24.4,1.56,74.4,40.9,28.8,2.19,87.0,93.1,84.8,71.4,64.7,38.1,24.4,1.56,74.4,40.9,28.8,2.19,87.0,93.1,84.8,71.4,64.7,38.1,24.4,1.56,74.4,40.9,28.8,2.19,87.0,93.1,84.8,71.4,0.0,0.06,-0.09,0.63,5.0,0.63,0.0,0.63,1.56,0.63,40.0,1.55,0.62,0.4,1.0,12.2,0.0,0.0,0.0,0.27,0.22,0.22,85.6,3.75,15.9,44.7,25.3,1.56,85.6,0.31,33.3,0.31,33.3,54.1,0.0,2.19,0.0,65.0,0.94,0.63,0.63,0.94,0.63,100.0,0.0,0.63,0.63,0.94,1.88,4.06,0.0,2.19,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.94,0.0,2.19,0.94,0.63,0.0,0.0,0.0,1.88,2.81,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Adekugbe,DF,Vancouver W'caps,30-322,Sam Adekugbe,TAM Player,TAM Player,"[ 2.31307324 -0.79755134  1.54092082  1.75144412 -0.20272134 -1.42311861
  0.28652467  0.4123542   1.74962349  0.66253331  1.19614892 -0.85926584
  0.19514524 -0.90080311]",-1,1.9948968372969873,0.031794976584181435
7680390154,1,2025,22,12,1173,13.0,0.15,0.15,0.31,0.15,0.0,0.0,0.46,0.08,0.25,0.25,0.12,0.37,1.23,0.85,4.62,0.15,0.15,0.31,0.15,0.31,0.25,0.12,0.37,0.25,0.37,13.0,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,179.2,22.4,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,0.15,0.08,0.04,1.31,1.0,0.23,0.0,0.15,2.62,0.54,20.6,2.61,0.54,0.06,0.29,15.3,0.0,0.0,0.0,0.1,-0.1,-0.1,27.1,1.31,2.15,12.3,13.0,4.77,27.1,0.38,41.7,0.54,58.3,15.4,0.62,2.38,1.0,20.3,0.54,0.15,0.15,0.54,0.15,40.0,0.23,0.23,0.08,0.15,0.69,1.31,0.0,2.31,2.3,0.15,0.0,0.15,0.0,0.0,0.0,0.23,0.23,0.15,0.0,0.15,0.0,0.0,0.0,0.08,2.77,1.15,0.62,0.08,0.15,0.15,0.0,0.08,0.0,2.23,2.08,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Agada,FW,Real Salt Lake,26-078,William Agada,,Standard,"[ 0.02803639  0.30942344  0.60157254  0.71909512  0.10833503 -0.28573324
  1.30530779  0.21984551 -1.64766939 -1.65397618 -0.32333389 -1.37996226
 -1.36823523 -1.75361182]",0,2.6331021548459925,-1.929552889203127
7680390154,2,2025,22,12,1173,13.0,0.15,0.15,0.31,0.15,0.0,0.0,0.46,0.08,0.25,0.25,0.12,0.37,1.23,0.85,4.62,0.15,0.15,0.31,0.15,0.31,0.25,0.12,0.37,0.25,0.37,13.0,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,179.2,22.4,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,0.15,0.08,0.04,1.31,1.0,0.23,0.0,0.15,2.62,0.54,20.6,2.61,0.54,0.06,0.29,15.3,0.0,0.0,0.0,0.1,-0.1,-0.1,27.1,1.31,2.15,12.3,13.0,4.77,27.1,0.38,41.7,0.54,58.3,15.4,0.62,2.38,1.0,20.3,0.54,0.15,0.15,0.54,0.15,40.0,0.23,0.23,0.08,0.15,0.69,1.31,0.0,2.31,2.3,0.15,0.0,0.15,0.0,0.0,0.0,0.23,0.23,0.15,0.0,0.15,0.0,0.0,0.0,0.08,2.77,1.15,0.62,0.08,0.15,0.15,0.0,0.08,0.0,2.23,2.08,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Agada,FW,Real Salt Lake,26-078,William Agada,,Standard,"[ 0.02803639  0.30942344  0.60157254  0.71909512  0.10833503 -0.28573324
  1.30530779  0.21984551 -1.64766939 -1.65397618 -0.32333389 -1.37996226
 -1.36823523 -1.75361182]",0,2.6331021548459925,-1.929552889203127
9611782126,1,2025,16,15,1224,13.6,0.44,0.07,0.51,0.37,0.07,0.07,0.22,0.0,0.39,0.34,0.18,0.51,2.13,1.4,6.03,0.44,0.07,0.51,0.37,0.44,0.39,0.18,0.57,0.33,0.52,13.6,11.9,6.91,3.46,0.37,15.5,8.68,4.63,0.44,76.8,79.7,74.6,83.3,159.0,25.9,11.9,6.91,3.46,0.37,15.5,8.68,4.63,0.44,76.8,79.7,74.6,83.3,11.9,6.91,3.46,0.37,15.5,8.68,4.63,0.44,76.8,79.7,74.6,83.3,11.9,6.91,3.46,0.37,15.5,8.68,4.63,0.44,76.8,79.7,74.6,83.3,0.07,0.1,-0.11,1.4,0.74,0.44,0.0,0.44,2.5,1.18,47.1,2.5,1.18,0.15,0.31,14.9,0.0,0.07,0.07,0.13,0.05,0.03,27.1,1.18,1.76,12.1,13.8,5.74,27.1,1.03,36.8,1.4,50.0,17.8,1.69,2.87,1.62,20.5,0.44,0.15,0.29,0.44,0.15,40.0,0.22,0.37,0.37,0.15,0.59,1.1,0.0,2.87,2.87,0.22,0.07,0.66,0.22,0.0,0.0,0.37,0.37,0.22,0.07,0.66,0.22,0.0,0.0,0.0,1.84,2.57,0.51,0.07,0.15,0.29,0.07,0.0,0.0,1.62,1.4,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick Agyemang,FW,Charlotte,25-027,Patrick Agyemang,,Standard,"[ 1.40857949 -0.28096311  1.42350229  1.29979143  0.73044778 -0.21996606
  1.18997385  1.58879624 -1.75383479 -1.3469689   0.39642112 -1.51013636
 -1.36823523 -1.45512877]",0,4.1846035832140105,-1.740343276745237
6784524469,2,2025,22,12,1288,14.3,0.0,0.56,0.56,0.0,0.0,0.0,0.14,0.0,0.15,0.15,0.34,0.49,5.38,5.59,15.7,0.0,0.56,0.56,0.0,0.56,0.15,0.34,0.49,0.15,0.49,14.3,38.7,22.7,13.1,2.03,48.0,25.8,15.6,3.01,80.6,88.1,84.3,67.4,582.6,152.9,38.7,22.7,13.1,2.03,48.0,25.8,15.6,3.01,80.6,88.1,84.3,67.4,38.7,22.7,13.1,2.03,48.0,25.8,15.6,3.01,80.6,88.1,84.3,67.4,38.7,22.7,13.1,2.03,48.0,25.8,15.6,3.01,80.6,88.1,84.3,67.4,0.56,0.38,0.22,2.59,2.52,2.87,0.77,0.0,1.75,0.63,36.0,1.75,0.63,0.0,0.0,16.5,0.0,0.0,0.0,0.08,-0.15,-0.15,59.4,0.98,4.76,19.0,36.4,7.06,59.4,1.47,44.7,1.61,48.9,38.7,3.29,2.38,1.26,46.9,1.19,0.7,0.7,1.19,0.7,47.6,0.77,1.19,1.19,0.42,1.61,0.77,0.0,5.52,5.52,0.35,0.07,0.28,0.21,0.07,0.0,1.12,1.12,0.35,0.07,0.28,0.21,0.07,0.0,0.0,0.7,1.75,0.21,3.08,0.42,0.7,0.07,0.0,0.0,3.15,0.77,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali Ahmed,FW,Vancouver W'caps,25-055,Ali Ahmed,,Standard,"[-0.68603763  3.33515452  0.01447986  0.07387699  2.38941512 -0.13743469
  0.46913674  0.4123542   0.0244357   0.9918684   2.99553647 -0.53383058
 -0.83391532  0.29312909]",-1,2.150378545587644,3.96723505584932
2331147427,1,2025,30,29,2563,28.5,0.21,0.39,0.6,0.21,0.0,0.0,0.21,0.0,0.09,0.09,0.31,0.4,1.79,6.56,10.4,0.21,0.39,0.6,0.21,0.6,0.09,0.31,0.4,0.09,0.4,28.5,60.5,28.2,25.7,5.26,75.2,31.9,30.6,8.74,80.4,88.5,83.9,60.2,1049.2,326.4,60.5,28.2,25.7,5.26,75.2,31.9,30.6,8.74,80.4,88.5,83.9,60.2,60.5,28.2,25.7,5.26,75.2,31.9,30.6,8.74,80.4,88.5,83.9,60.2,60.5,28.2,25.7,5.26,75.2,31.9,30.6,8.74,80.4,88.5,83.9,60.2,0.39,0.27,0.08,1.96,4.32,2.11,0.46,0.21,0.67,0.32,47.4,0.67,0.32,0.32,0.67,18.7,0.0,0.0,0.0,0.14,0.12,0.12,82.1,2.46,19.9,34.9,27.7,2.88,82.1,0.42,52.2,0.39,47.8,48.8,0.56,0.74,0.25,60.5,0.95,0.49,0.63,0.95,0.49,53.8,0.42,0.7,0.46,0.67,1.61,1.47,0.07,3.3,3.3,0.11,0.07,0.0,0.0,0.04,0.0,0.67,0.67,0.11,0.07,0.0,0.0,0.04,0.0,0.0,0.49,0.67,0.11,4.14,0.67,0.63,0.0,0.0,0.0,5.37,0.14,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordi Alba,DF,Inter Miami,36-258,Jordi Alba,Designated Player,Designated Player,"[ 0.313666    2.0805831  -0.33777574 -0.31325388  2.07835874  1.50674484
 -0.5688687  -0.25073131  1.47093931  1.5333176   0.12451367 -0.84624843
 -0.33917467 -0.75156158]",-1,0.3904465890813854,2.87606763008582
4974415489,1,2025,26,20,1898,21.1,0.0,0.05,0.05,0.0,0.0,0.0,0.19,0.0,0.01,0.01,0.06,0.07,0.62,3.79,2.32,0.0,0.05,0.05,0.0,0.05,0.01,0.06,0.07,0.01,0.07,21.1,57.9,21.6,29.6,6.02,65.0,22.7,31.8,8.77,89.1,94.8,93.0,68.6,1104.5,331.3,57.9,21.6,29.6,6.02,65.0,22.7,31.8,8.77,89.1,94.8,93.0,68.6,57.9,21.6,29.6,6.02,65.0,22.7,31.8,8.77,89.1,94.8,93.0,68.6,57.9,21.6,29.6,6.02,65.0,22.7,31.8,8.77,89.1,94.8,93.0,68.6,0.05,0.05,-0.01,0.24,3.51,0.33,0.09,0.0,0.24,0.09,40.0,0.24,0.09,0.0,0.0,23.3,0.0,0.0,0.0,0.04,-0.01,-0.01,74.5,7.06,33.0,33.6,8.29,0.52,74.5,0.09,20.0,0.33,70.0,47.3,0.0,0.62,0.28,53.4,2.23,1.14,1.42,2.23,1.14,57.1,0.85,1.28,0.9,0.81,3.03,3.32,0.05,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.57,0.05,0.76,0.81,1.42,0.0,0.0,0.0,4.03,0.85,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noah Allen,DF,Inter Miami,21-220,Noah Allen,Homegrown Player,Homegrown,"[-0.68603763 -0.42855974 -0.80744988 -0.82942838 -0.51377772  0.64919238
 -0.98214865 -0.74269798  1.29842053 -0.01288271 -0.81116785  0.81998011
 -0.0621199   0.48501105]",0,-2.412578612145483,0.023866614719227228
